OWNER_CIK,OWNER_NAME,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Min_Transaction_Value,Avg_Transaction_Value,Max_Transaction_Value,Transaction_Count,Unique_Transaction_Years,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Avg_Days_Between_Transactions,Pct_Positive_vs_SP500_6M,Pct_Positive_vs_SP500_1Y,Pct_Positive_vs_SP500_18M,Pct_Positive_vs_Sector_6M,Pct_Positive_vs_Sector_1Y,Pct_Positive_vs_Sector_18M,Number_of_Companies,Most_Common_Company,Most_Active_Sector,Total_Transaction_Value,Bull_Market_Transactions,Bull_Market_Avg_Return_6M,Bull_Market_vs_SP500_6M,Bull_Market_vs_Sector_6M,Bull_Market_Win_Rate,Bear_Market_Transactions,Bear_Market_Avg_Return_6M,Bear_Market_vs_SP500_6M,Bear_Market_vs_Sector_6M,Bear_Market_Win_Rate,Market_Timing_Score,Most_Common_Company_Market_Cap,Most_Common_Company_Cap_Category,Pct_Mega_Cap_Trades,Pct_Large_Cap_Trades,Pct_Mid_Cap_Trades,Pct_Small_Cap_Trades,Pct_Micro_Cap_Trades,Preferred_Cap_Category,Avg_Market_Cap,Median_Market_Cap
1173275,TAI JACKSON P,26%,27%,29%,10%,10%,11%,-26%,-27%,-29%,-10%,-10%,-11%,36560,208006.4063,914899.83,17,6,2014,2022,-124.4,29%,12%,12%,35%,0%,0%,1,LLY,Health Care,1729.77,0,0,0,0,0,0,0,0,0,0,0,715271000000,Mega Cap,100,0,0,0,0,Mega Cap,7.15271E+11,7.15271E+11
1174454,KINDLER JEFFREY B,19%,21%,20%,5%,6%,6%,-19%,-21%,-20%,-5%,-6%,-6%,102000,254788,407576,2,1,2014,2014,0.0,0%,0%,0%,0%,0%,0%,1,CMG,Consumer Discretionary,6.84E-42,0,0,0,0,0,0,0,0,0,0,0,84548780032,Large Cap,0,100,0,0,0,Large Cap,84548780032,84548780032
1174477,CORNWELL W DON,45%,41%,41%,16%,15%,15%,-45%,-41%,-41%,-16%,-15%,-15%,7725,24915,41520,4,2,2021,2022,-125.7,25%,75%,50%,25%,25%,0%,1,VTRS,Health Care,54.98,0,0,0,0,0,0,0,0,0,0,0,15779340288,Large Cap,0,100,0,0,0,Large Cap,15779340288,15779340288
1175170,BENNETT JAMES A,30%,25%,33%,3%,3%,3%,-30%,-25%,-33%,-3%,-3%,-3%,500030.817,500030.817,500030.817,1,1,2019,2019,0.0,0%,100%,0%,0%,100%,0%,1,D,Utilities,76.34,0,0,0,0,0,0,0,0,0,0,0,50148589568,Large Cap,0,100,0,0,0,Large Cap,50148589568,50148589568
1175174,HAGOOD D MAYBANK,30%,25%,33%,3%,3%,3%,-30%,-25%,-33%,-3%,-3%,-3%,150008.1,150008.1,150008.1,1,1,2019,2019,0.0,0%,100%,0%,0%,100%,0%,1,D,Utilities,76.34,0,0,0,0,0,0,0,0,0,0,0,50148589568,Large Cap,0,100,0,0,0,Large Cap,50148589568,50148589568
1175928,HORTON THOMAS W,33%,33%,39%,7%,7%,8%,-33%,-33%,-39%,-7%,-7%,-8%,498336.96,498336.96,498336.96,1,1,2019,2019,0.0,0%,0%,0%,0%,0%,0%,1,GE,Industrials,2.17E+46,0,0,0,0,0,0,0,0,0,0,0,197150000000,Large Cap,0,100,0,0,0,Large Cap,1.9715E+11,1.9715E+11
1176412,DRIES WILLIAM,34%,39%,45%,7%,8%,9%,-34%,-39%,-45%,-7%,-8%,-9%,425310,425310,425310,1,1,2020,2020,0.0,0%,0%,0%,0%,0%,0%,1,TDG,Industrials,425.31,0,0,0,0,0,0,0,0,0,0,0,70455001088,Large Cap,0,100,0,0,0,Large Cap,70455001088,70455001088
1176453,BARBAS PAUL M,40%,42%,45%,3%,3%,3%,-40%,-42%,-45%,-3%,-3%,-3%,197040,199106.8333,201080.5,3,3,2020,2022,-262.5,33%,0%,0%,67%,67%,33%,1,VST,Utilities,61.58,0,0,0,0,0,0,0,0,0,0,0,54381719552,Large Cap,0,100,0,0,0,Large Cap,54381719552,54381719552
1176529,HOWE JERALD S JR,34%,39%,42%,7%,8%,9%,-34%,-39%,-42%,-7%,-8%,-9%,96300,103470,110640,2,2,2017,2023,-2082.0,0%,0%,0%,0%,0%,0%,1,LDOS,Industrials,135.57,0,0,0,0,0,0,0,0,0,0,0,22069817344,Large Cap,0,100,0,0,0,Large Cap,22069817344,22069817344
1177106,NECASTRO TIMOTHY G,28%,29%,31%,5%,4%,5%,-28%,-29%,-31%,-5%,-4%,-5%,2971.5,37121.52308,198229.5,13,2,2017,2018,7.3,23%,0%,0%,85%,77%,69%,1,ERIE,Financials,1543.35,0,0,0,0,0,0,0,0,0,0,0,22909251584,Large Cap,0,100,0,0,0,Large Cap,22909251584,22909251584
1177112,CONNELL EUGENE C,33%,39%,44%,4%,6%,6%,-33%,-39%,-44%,-4%,-6%,-6%,10617.75,19225.875,27834,2,1,2020,2020,0.0,0%,0%,0%,0%,0%,0%,1,ERIE,Financials,280.74,0,0,0,0,0,0,0,0,0,0,0,22909251584,Large Cap,0,100,0,0,0,Large Cap,22909251584,22909251584
1177119,DUFALA GEORGE D,21%,21%,22%,3%,3%,4%,-21%,-21%,-22%,-3%,-3%,-4%,20160,20160,20160,1,1,2015,2015,0.0,0%,0%,0%,0%,100%,0%,1,ERIE,Financials,80.64,0,0,0,0,0,0,0,0,0,0,0,22909251584,Large Cap,0,100,0,0,0,Large Cap,22909251584,22909251584
1177773,GRIFFITH JAMES W,21%,20%,19%,5%,4%,5%,-21%,-20%,-19%,-5%,-4%,-5%,66375,66375,66375,1,1,2014,2014,0.0,0%,0%,0%,0%,0%,0%,1,ITW,Industrials,88.5,0,0,0,0,0,0,0,0,0,0,0,81951653888,Large Cap,0,100,0,0,0,Large Cap,81951653888,81951653888
1179158,MORRISON DALE F,26%,29%,31%,3%,4%,4%,-26%,-29%,-31%,-3%,-4%,-4%,499646,499646,499646,1,1,2018,2018,0.0,100%,0%,0%,100%,100%,100%,1,IFF,Materials,124.6,0,0,0,0,0,0,0,0,0,0,0,23359107072,Large Cap,0,100,0,0,0,Large Cap,23359107072,23359107072
1179702,EBERHART PAULETT,29%,30%,29%,5%,4%,3%,-29%,-30%,-29%,-5%,-4%,-3%,5173.8,5173.8,5173.8,1,1,2018,2018,0.0,0%,0%,0%,0%,100%,100%,1,VLO,Energy,86.23,0,0,0,0,0,0,0,0,0,0,0,44030640128,Large Cap,0,100,0,0,0,Large Cap,44030640128,44030640128
1179710,PAULL MATTHEW H,25%,27%,29%,7%,8%,9%,-25%,-27%,-29%,-7%,-8%,-9%,159084,159084,159084,1,1,2017,2017,0.0,0%,0%,0%,0%,0%,0%,1,CMG,Consumer Discretionary,2.67E-42,0,0,0,0,0,0,0,0,0,0,0,84548780032,Large Cap,0,100,0,0,0,Large Cap,84548780032,84548780032
1179745,Swedish Joseph,35%,38%,35%,19%,21%,20%,-35%,-38%,-35%,-19%,-21%,-20%,222020,227430,232840,2,2,2018,2020,729.0,0%,0%,0%,0%,0%,0%,1,IBM,Information Technology,51.55872414,0,0,0,0,0,0,0,0,0,0,0,210274000000,Mega Cap,100,0,0,0,0,Mega Cap,2.10274E+11,2.10274E+11
1179801,JACKSON JEANNE P,30%,35%,38%,6%,7%,8%,-30%,-35%,-38%,-6%,-7%,-8%,3959,148346.6333,499840,6,2,2015,2020,327.8,17%,0%,0%,0%,0%,0%,2,DAL,Industrials,241.68,0,0,0,0,0,0,0,0,0,0,0,41181835264,Large Cap,0,100,0,0,0,Large Cap,40340279296,41181835264
1179998,Reynolds Paula Rosput,39%,39%,41%,8%,8%,8%,-39%,-39%,-41%,-8%,-8%,-8%,3022.77,58510.46167,107060,6,4,2019,2022,-75.8,33%,17%,17%,33%,17%,33%,1,GE,Industrials,2.14E+47,0,0,0,0,0,0,0,0,0,0,0,197150000000,Large Cap,0,100,0,0,0,Large Cap,1.9715E+11,1.9715E+11
1180138,SALERNO FREDERIC V,28%,28%,27%,12%,13%,12%,-28%,-28%,-27%,-12%,-13%,-12%,234150,234150,234150,1,1,2017,2017,0.0,0%,0%,0%,0%,0%,0%,1,AKAM,Information Technology,46.83,0,0,0,0,0,0,0,0,0,0,0,14124343296,Large Cap,0,100,0,0,0,Large Cap,14124343296,14124343296
1180457,LOUGHRIDGE MARK,21%,19%,22%,3%,3%,3%,-21%,-19%,-22%,-3%,-3%,-3%,100029.02,100029.02,100029.02,1,1,2015,2015,0.0,0%,0%,0%,0%,0%,0%,1,DOW,Materials,48.23,0,0,0,0,0,0,0,0,0,0,0,,Micro Cap,0,0,0,0,100,Micro Cap,,
1180495,O HANLEY RONALD P,31%,35%,38%,5%,4%,5%,-31%,-35%,-38%,-5%,-4%,-5%,353010,353010,353010,1,1,2019,2019,0.0,0%,0%,0%,0%,100%,0%,1,STT,Financials,50.43,0,0,0,0,0,0,0,0,0,0,0,28960364544,Large Cap,0,100,0,0,0,Large Cap,28960364544,28960364544
1180552,NUSSDORF LAWRENCE C,22%,24%,25%,5%,6%,6%,-22%,-24%,-25%,-5%,-6%,-6%,112825,112825,112825,1,1,2016,2016,0.0,0%,0%,0%,0%,0%,0%,1,LDOS,Industrials,45.13,0,0,0,0,0,0,0,0,0,0,0,22069817344,Large Cap,0,100,0,0,0,Large Cap,22069817344,22069817344
1180568,RATTIE KEITH O,35%,39%,45%,3%,4%,4%,-35%,-39%,-45%,-3%,-4%,-4%,90000,115250,140500,2,1,2020,2020,3.0,0%,0%,0%,50%,0%,0%,1,DVN,Energy,23.05,0,0,0,0,0,0,0,0,0,0,0,24929353728,Large Cap,0,100,0,0,0,Large Cap,24929353728,24929353728
1180610,Wilderotter Mary Agnes,38%,41%,44%,7%,8%,8%,-38%,-41%,-44%,-7%,-8%,-8%,400129,449874.625,499620.25,2,2,2021,2022,168.0,100%,50%,50%,50%,50%,100%,1,COST,Consumer Staples,1010.87,0,0,0,0,0,0,0,0,0,0,0,430615000000,Mega Cap,100,0,0,0,0,Mega Cap,4.30615E+11,4.30615E+11
1180656,SARGENT RONALD,29%,29%,30%,5%,5%,5%,-29%,-29%,-30%,-5%,-5%,-5%,101280,302914.375,503820,4,4,2017,2020,350.7,0%,0%,0%,25%,50%,25%,2,KR,Consumer Staples,164.27,0,0,0,0,0,0,0,0,0,0,0,44190527488,Large Cap,50,50,0,0,0,Large Cap,1.5063E+11,1.5063E+11
1180658,DOODY JOSEPH,29%,30%,28%,7%,7%,5%,-29%,-30%,-28%,-7%,-7%,-5%,64400,65466.66667,66500,3,1,2018,2018,0.5,0%,0%,0%,0%,0%,100%,1,PAYX,Industrials,196.4,0,0,0,0,0,0,0,0,0,0,0,52642279424,Large Cap,0,100,0,0,0,Large Cap,52642279424,52642279424
1180659,ANDERSON BASIL,20%,21%,21%,6%,6%,6%,-20%,-21%,-21%,-6%,-6%,-6%,72350,72350,72350,1,1,2015,2015,0.0,100%,100%,0%,0%,0%,0%,1,HAS,Consumer Discretionary,72.35,0,0,0,0,0,0,0,0,0,0,0,9088489472,Mid Cap,0,0,100,0,0,Mid Cap,9088489472,9088489472
1181185,WOLD OLSEN PER,21%,19%,22%,9%,7%,9%,-21%,-19%,-22%,-9%,-7%,-9%,999200,999200,999200,1,1,2015,2015,0.0,0%,100%,0%,0%,100%,0%,1,GILD,Health Care,99.92,0,0,0,0,0,0,0,0,0,0,0,115380000000,Large Cap,0,100,0,0,0,Large Cap,1.1538E+11,1.1538E+11
1181274,SPENCE WILLIAM H,39%,45%,50%,5%,5%,5%,-39%,-45%,-50%,-5%,-5%,-5%,45000,74550,148050,4,2,2020,2023,-365.7,0%,0%,0%,50%,0%,0%,1,WMB,Energy,72.71,0,0,0,0,0,0,0,0,0,0,0,71336468480,Large Cap,0,100,0,0,0,Large Cap,71336468480,71336468480
1181664,WAGONER G RICHARD JR,31%,32%,37%,5%,4%,5%,-31%,-32%,-37%,-5%,-4%,-5%,207100,207100,207100,1,1,2019,2019,0.0,0%,0%,0%,0%,100%,0%,1,IVZ,Financials,20.71,0,0,0,0,0,0,0,0,0,0,0,8130369536,Mid Cap,0,0,100,0,0,Mid Cap,8130369536,8130369536
1181680,Connor Christopher M,39%,37%,37%,8%,8%,8%,-39%,-37%,-37%,-8%,-8%,-8%,67230,117285,167340,2,2,2016,2021,-1811.0,0%,50%,50%,50%,50%,50%,1,ETN,Industrials,234.57,0,0,0,0,0,0,0,0,0,0,0,148366000000,Large Cap,0,100,0,0,0,Large Cap,1.48366E+11,1.48366E+11
1181685,Henderson Frederick A.,27%,29%,33%,9%,9%,10%,-27%,-29%,-33%,-9%,-9%,-10%,198177.6,198177.6,198177.6,1,1,2018,2018,0.0,100%,0%,0%,100%,0%,0%,1,MAR,Consumer Discretionary,120.84,0,0,0,0,0,0,0,0,0,0,0,80336084992,Large Cap,0,100,0,0,0,Large Cap,80336084992,80336084992
1181744,ROWE JOHN W,20%,21%,21%,8%,8%,8%,-20%,-21%,-21%,-8%,-8%,-8%,749957.44,749957.44,749957.44,1,1,2014,2014,0.0,0%,0%,0%,0%,0%,0%,1,HCA,Health Care,52.24,0,0,0,0,0,0,0,0,0,0,0,82883837952,Large Cap,0,100,0,0,0,Large Cap,82883837952,82883837952
1181756,KEMPSTON DARKES V MAUREEN,19%,22%,24%,4%,5%,5%,-19%,-22%,-24%,-4%,-5%,-5%,216720,216720,216720,1,1,2015,2015,0.0,100%,0%,0%,100%,0%,0%,1,SLB,Energy,72.24,0,0,0,0,0,0,0,0,0,0,0,62049869824,Large Cap,0,100,0,0,0,Large Cap,62049869824,62049869824
1181963,FRIST PATRICIA C,26%,27%,27%,9%,9%,10%,-26%,-27%,-27%,-9%,-9%,-10%,147665.7,4699467.297,13855990,7,2,2017,2018,-48.7,0%,0%,0%,0%,0%,0%,1,HCA,Health Care,600.47,0,0,0,0,0,0,0,0,0,0,0,82883837952,Large Cap,0,100,0,0,0,Large Cap,82883837952,82883837952
1181991,WOODS M TROY,41%,44%,51%,5%,6%,7%,-41%,-44%,-51%,-5%,-6%,-7%,499829.22,499829.22,499829.22,1,1,2022,2022,0.0,0%,0%,0%,100%,100%,0%,1,GPN,Financials,95.26,0,0,0,0,0,0,0,0,0,0,0,30381549568,Large Cap,0,100,0,0,0,Large Cap,30381549568,30381549568
1182002,ROGERS WILLIAM H JR,44%,39%,43%,6%,6%,6%,-44%,-39%,-43%,-6%,-6%,-6%,280500,2212225,4143950,2,2,2021,2023,732.0,50%,50%,50%,50%,50%,50%,1,TFC,Financials,89.9,0,0,0,0,0,0,0,0,0,0,0,63389126656,Large Cap,0,100,0,0,0,Large Cap,63389126656,63389126656
1182068,KAPUT JIM L,24%,25%,28%,9%,10%,12%,-24%,-25%,-28%,-9%,-10%,-12%,235836.54,235836.54,235836.54,1,1,2016,2016,0.0,0%,0%,0%,0%,0%,0%,1,ZBRA,Information Technology,68.22,0,0,0,0,0,0,0,0,0,0,0,20993060864,Large Cap,0,100,0,0,0,Large Cap,20993060864,20993060864
1182252,WAYSON DANIEL BOONE,24%,27%,28%,7%,8%,9%,-24%,-27%,-28%,-7%,-8%,-9%,3518625,3518625,3518625,1,1,2016,2016,0.0,0%,0%,0%,0%,0%,0%,1,WYNN,Consumer Discretionary,93.83,0,0,0,0,0,0,0,0,0,0,0,10364339200,Large Cap,0,100,0,0,0,Large Cap,10364339200,10364339200
1182323,BERKERY ROSEMARY T,36%,42%,47%,12%,13%,17%,-36%,-42%,-47%,-12%,-13%,-17%,160440,160440,160440,1,1,2020,2020,0.0,0%,0%,0%,0%,0%,0%,1,TJX,Consumer Discretionary,53.48,0,0,0,0,0,0,0,0,0,0,0,142519000000,Large Cap,0,100,0,0,0,Large Cap,1.42519E+11,1.42519E+11
1182328,GORMAN JAMES P,59%,59%,59%,3%,3%,3%,-59%,-59%,-59%,-3%,-3%,-3%,2120600,2120600,2120600,1,1,2024,2024,0.0,0%,0%,0%,0%,0%,0%,1,DIS,Communication Services,106.03,0,0,0,0,0,0,0,0,0,0,0,212966000000,Mega Cap,100,0,0,0,0,Mega Cap,2.12966E+11,2.12966E+11
1182415,MICHELSON MICHAEL W,37%,42%,43%,13%,14%,15%,-37%,-42%,-43%,-13%,-14%,-15%,150150,199851.825,249553.65,2,2,2019,2023,1659.0,0%,0%,0%,0%,0%,0%,1,ZBH,Health Care,170.9996219,0,0,0,0,0,0,0,0,0,0,0,22316195840,Large Cap,0,100,0,0,0,Large Cap,22316195840,22316195840
1182495,KEARNEY MICHAEL C,19%,22%,23%,3%,3%,4%,-19%,-22%,-23%,-3%,-3%,-4%,109060,109060,109060,1,1,2015,2015,0.0,100%,0%,0%,100%,100%,0%,1,FI,Financials,1.81E-09,0,0,0,0,0,0,0,0,0,0,0,125708000000,Large Cap,0,100,0,0,0,Large Cap,1.25708E+11,1.25708E+11
1182630,RIGBY JOSEPH M,38%,38%,39%,3%,3%,3%,-38%,-38%,-39%,-3%,-3%,-3%,99990.1798,149993.9904,199997.801,2,2,2018,2024,2198.0,0%,0%,0%,0%,0%,0%,1,D,Utilities,121.59,0,0,0,0,0,0,0,0,0,0,0,50148589568,Large Cap,0,100,0,0,0,Large Cap,50148589568,50148589568
1182700,BARRAT SHERRY S,34%,34%,37%,3%,3%,3%,-34%,-34%,-37%,-3%,-3%,-3%,74539.9,108849.95,143160,2,2,2014,2022,-2724.0,50%,50%,0%,0%,0%,50%,2,AJG,Financials,117.31,0,0,0,0,0,0,0,0,0,0,0,69160534016,Large Cap,0,100,0,0,0,Large Cap,1.15469E+11,1.15469E+11
1182704,EVANSON PAUL J,19%,21%,22%,2%,2%,2%,-19%,-21%,-22%,-2%,-2%,-2%,5150,87738,222450,5,2,2014,2015,-133.5,20%,0%,0%,0%,0%,0%,1,AWK,Utilities,253.49,0,0,0,0,0,0,0,0,0,0,0,26955816960,Large Cap,0,100,0,0,0,Large Cap,26955816960,26955816960
1182705,HAY LEWIS III,32%,33%,38%,7%,6%,7%,-32%,-33%,-38%,-7%,-6%,-7%,1992732,1992732,1992732,1,1,2019,2019,0.0,0%,0%,0%,0%,100%,0%,1,LHX,Industrials,203.34,0,0,0,0,0,0,0,0,0,0,0,46705745920,Large Cap,0,100,0,0,0,Large Cap,46705745920,46705745920
1182758,GODBOLD FRANCIS S,26%,29%,33%,4%,5%,5%,-26%,-29%,-33%,-4%,-5%,-5%,320720,681155.3,958540,6,2,2016,2020,299.8,0%,0%,0%,0%,0%,0%,1,RJF,Financials,7.582323833,0,0,0,0,0,0,0,0,0,0,0,34707984384,Large Cap,0,100,0,0,0,Large Cap,34707984384,34707984384
1182773,RUBENSTEIN ALLAN E,29%,31%,32%,11%,12%,12%,-29%,-31%,-32%,-11%,-12%,-12%,24158,42037.4,59916.8,2,1,2018,2018,0.0,0%,0%,0%,0%,0%,0%,1,COO,Health Care,0.007372741,0,0,0,0,0,0,0,0,0,0,0,20803835904,Large Cap,0,100,0,0,0,Large Cap,20803835904,20803835904
1182775,JAMES THOMAS A,20%,20%,20%,3%,3%,3%,-20%,-20%,-20%,-3%,-3%,-3%,2916,2916,2916,1,1,1994,1994,0.0,0%,0%,0%,0%,0%,0%,1,RJF,Financials,0.016647869,0,0,0,0,0,0,0,0,0,0,0,34707984384,Large Cap,0,100,0,0,0,Large Cap,34707984384,34707984384
1183208,PARNEROS DEMOS,21%,22%,23%,3%,4%,4%,-21%,-22%,-23%,-3%,-4%,-4%,54520,82610,110700,2,2,2014,2016,-558.0,0%,0%,0%,0%,0%,0%,1,KEY,Financials,24.7,0,0,0,0,0,0,0,0,0,0,0,19349833728,Large Cap,0,100,0,0,0,Large Cap,19349833728,19349833728
1183239,CREEL MICHAEL A,31%,33%,35%,4%,4%,3%,-31%,-33%,-35%,-4%,-4%,-3%,148350,300725,478750,5,4,2017,2020,71.3,0%,0%,0%,80%,60%,80%,1,WMB,Energy,123.59,0,0,0,0,0,0,0,0,0,0,0,71336468480,Large Cap,0,100,0,0,0,Large Cap,71336468480,71336468480
1183254,ROBO JAMES L,41%,41%,46%,4%,4%,3%,-41%,-41%,-46%,-4%,-4%,-3%,4998026.66,4998026.66,4998026.66,1,1,2022,2022,0.0,100%,100%,0%,0%,100%,100%,1,NEE,Utilities,77.26,0,0,0,0,0,0,0,0,0,0,0,161777000000,Large Cap,0,100,0,0,0,Large Cap,1.61777E+11,1.61777E+11
1183258,DICKERSON GARY E,20%,22%,23%,7%,8%,9%,-20%,-22%,-23%,-7%,-8%,-9%,156800,293500,430200,2,1,2015,2015,34.0,50%,0%,0%,0%,0%,0%,1,AMAT,Information Technology,30.02,0,0,0,0,0,0,0,0,0,0,0,144032000000,Large Cap,0,100,0,0,0,Large Cap,1.44032E+11,1.44032E+11
1183261,KAHAN JAMES S,34%,38%,44%,2%,2%,2%,-34%,-38%,-44%,-2%,-2%,-2%,9886,58989.27273,200300,11,3,2019,2022,12.6,73%,27%,0%,73%,27%,0%,1,LYV,Communication Services,735.71,0,0,0,0,0,0,0,0,0,0,0,32221650944,Large Cap,0,100,0,0,0,Large Cap,32221650944,32221650944
1183302,HORNBUCKLE WILLIAM,33%,40%,44%,12%,13%,15%,-33%,-40%,-44%,-12%,-13%,-15%,99600,198740,396660,3,1,2020,2020,0.5,0%,0%,0%,0%,0%,0%,1,MGM,Consumer Discretionary,35.78,0,0,0,0,0,0,0,0,0,0,0,11415351296,Large Cap,0,100,0,0,0,Large Cap,11415351296,11415351296
1183428,STEPHENSON RANDALL L,37%,39%,40%,7%,7%,7%,-37%,-39%,-40%,-7%,-7%,-7%,244477.5,599296.398,1001391.75,5,4,2014,2023,-181.5,0%,0%,0%,0%,0%,0%,3,BA,Industrials,343.0140741,0,0,0,0,0,0,0,0,0,0,0,116296000000,Large Cap,40,60,0,0,0,Large Cap,3.59055E+11,1.16296E+11
1183474,FARR DAVID N,32%,35%,36%,17%,20%,21%,-32%,-35%,-36%,-17%,-20%,-21%,8081.25,49009.73077,155606,13,4,2016,2022,71.7,8%,0%,0%,8%,0%,0%,1,IBM,Information Technology,473.6215802,0,0,0,0,0,0,0,0,0,0,0,210274000000,Mega Cap,100,0,0,0,0,Mega Cap,2.10274E+11,2.10274E+11
1183476,GALVIN WALTER J,21%,21%,21%,2%,2%,2%,-21%,-21%,-21%,-2%,-2%,-2%,359985.84,359985.84,359985.84,1,1,2014,2014,0.0,0%,0%,0%,0%,0%,0%,1,AEE,Utilities,39.18,0,0,0,0,0,0,0,0,0,0,0,25352775680,Large Cap,0,100,0,0,0,Large Cap,25352775680,25352775680
1183480,MONSER EDWARD L,35%,38%,43%,4%,5%,5%,-35%,-38%,-43%,-4%,-5%,-5%,25159.2,36339.6,47520,2,2,2020,2021,-650.0,100%,50%,50%,50%,50%,50%,1,APD,Materials,552.09,0,0,0,0,0,0,0,0,0,0,0,74347970560,Large Cap,0,100,0,0,0,Large Cap,74347970560,74347970560
1183585,GARCIA ART A,52%,59%,59%,7%,8%,8%,-52%,-59%,-59%,-7%,-8%,-8%,98711.7,98711.7,98711.7,1,1,2024,2024,0.0,0%,0%,0%,0%,0%,0%,1,RJF,Financials,112.3,0,0,0,0,0,0,0,0,0,0,0,34707984384,Large Cap,0,100,0,0,0,Large Cap,34707984384,34707984384
1183729,BROWN HUGH M,39%,41%,44%,6%,5%,6%,-39%,-41%,-44%,-6%,-5%,-6%,29668.04,39413.94,49159.84,2,1,2022,2022,0.0,100%,100%,0%,100%,100%,100%,1,BRO,Financials,120.58,0,0,0,0,0,0,0,0,0,0,0,32370464768,Large Cap,0,100,0,0,0,Large Cap,32370464768,32370464768
1183818,NOOYI INDRA K,34%,40%,45%,12%,14%,15%,-34%,-40%,-45%,-12%,-14%,-15%,1923.76,11625.82727,187500,99,2,2019,2020,1.8,2%,0%,0%,1%,0%,0%,1,AMZN,Consumer Discretionary,4.30E-124,0,0,0,0,0,0,0,0,0,0,0,2185960000000,Mega Cap,100,0,0,0,0,Mega Cap,2.18596E+12,2.18596E+12
1183833,HOCHSCHILD ROGER C,30%,34%,36%,4%,5%,5%,-30%,-34%,-36%,-4%,-5%,-5%,22927.68,474307.0129,1977298.86,7,4,2016,2020,-60.7,14%,0%,0%,14%,14%,29%,1,DFS,Financials,457.32,0,0,0,0,0,0,0,0,0,0,0,45835534336,Large Cap,0,100,0,0,0,Large Cap,45835534336,45835534336
1183834,HUTCHESON EDWARD C JR,29%,33%,34%,2%,2%,2%,-29%,-33%,-34%,-2%,-2%,-2%,41282.5,41282.5,41282.5,1,1,2019,2019,0.0,0%,0%,0%,0%,0%,0%,1,CCI,Real Estate,117.95,0,0,0,0,0,0,0,0,0,0,0,46371643392,Large Cap,0,100,0,0,0,Large Cap,46371643392,46371643392
1183865,DALEY WILLIAM M,34%,35%,41%,5%,5%,6%,-34%,-35%,-41%,-5%,-5%,-6%,225445,241236.125,256101,4,2,2019,2020,75.0,0%,0%,0%,50%,50%,0%,2,BK,Financials,171.84,0,0,0,0,0,0,0,0,0,0,0,59525877760,Large Cap,50,50,0,0,0,Large Cap,1.58298E+11,1.58298E+11
1183967,Rodgers Thurman J,46%,53%,59%,33%,39%,46%,-46%,-53%,-59%,-33%,-39%,-46%,96301.6,1806312.724,5490352,10,1,2023,2023,15.7,0%,0%,0%,0%,0%,0%,1,ENPH,Information Technology,1393.51,0,0,0,0,0,0,0,0,0,0,0,9639884800,Mid Cap,0,0,100,0,0,Mid Cap,9639884800,9639884800
1183996,KARAM THOMAS F,27%,27%,29%,6%,5%,5%,-27%,-27%,-29%,-6%,-5%,-5%,592600,592600,592600,1,1,2017,2017,0.0,0%,0%,0%,0%,100%,100%,1,EQT,Energy,2.97E-09,0,0,0,0,0,0,0,0,0,0,0,27113322496,Large Cap,0,100,0,0,0,Large Cap,27113322496,27113322496
1184176,GORELICK JAMIE S,21%,21%,21%,7%,7%,8%,-21%,-21%,-21%,-7%,-7%,-8%,64190,64190,64190,1,1,2015,2015,0.0,100%,100%,0%,0%,100%,0%,1,VRSN,Information Technology,64.19,0,0,0,0,0,0,0,0,0,0,0,18415648768,Large Cap,0,100,0,0,0,Large Cap,18415648768,18415648768
1184237,KHOSROWSHAHI DARA,36%,39%,42%,7%,8%,8%,-36%,-39%,-42%,-7%,-8%,-8%,5346000,7005833.333,8984000,3,3,2019,2022,-364.0,100%,33%,33%,100%,33%,33%,1,UBER,Industrials,98.4,0,0,0,0,0,0,0,0,0,0,0,151527000000,Large Cap,0,100,0,0,0,Large Cap,1.51527E+11,1.51527E+11
1184244,MILLER JON,28%,28%,30%,2%,2%,2%,-28%,-28%,-30%,-2%,-2%,-2%,2440.3,5092.8,10079.5,5,1,2018,2018,-12.3,20%,0%,0%,20%,20%,0%,1,IPG,Communication Services,106.1,0,0,0,0,0,0,0,0,0,0,0,11477002240,Large Cap,0,100,0,0,0,Large Cap,11477002240,11477002240
1184647,MEHRABIAN ROBERT,42%,41%,38%,25%,25%,22%,-42%,-41%,-38%,-25%,-25%,-22%,73758,856991.606,3218864,10,2,2017,2021,151.7,0%,0%,0%,0%,0%,0%,1,TDY,Information Technology,3175.53,0,0,0,0,0,0,0,0,0,0,0,22633836544,Large Cap,0,100,0,0,0,Large Cap,22633836544,22633836544
1184649,PEREZ WILLIAM D,30%,34%,35%,11%,12%,13%,-30%,-34%,-35%,-11%,-12%,-13%,63845,98877.5,133910,2,2,2018,2020,455.0,0%,0%,0%,0%,0%,0%,1,JNJ,Health Care,261.6,0,0,0,0,0,0,0,0,0,0,0,374145000000,Mega Cap,100,0,0,0,0,Mega Cap,3.74145E+11,3.74145E+11
